"insult_slugs","quotes_vec","tweet","tweet_link","date"
"cnn","dead network!","I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily, few people are watching - dead network!","https://twitter.com/realDonaldTrump/status/752215352122208256",2016-07-10 18:58:10
"cnn","all negative",".@FoxNews is much better, and far more truthful, than @CNN, which is all negative. Guests are stacked for Crooked Hillary! I don't watch.","https://twitter.com/realDonaldTrump/status/754662980164386816",2016-07-17 13:04:10
"cnn","Guests are stacked for Crooked Hillary!",".@FoxNews is much better, and far more truthful, than @CNN, which is all negative. Guests are stacked for Crooked Hillary! I don't watch.","https://twitter.com/realDonaldTrump/status/754662980164386816",2016-07-17 13:04:10
"cnn","I don't watch",".@FoxNews is much better, and far more truthful, than @CNN, which is all negative. Guests are stacked for Crooked Hillary! I don't watch.","https://twitter.com/realDonaldTrump/status/754662980164386816",2016-07-17 13:04:10
"cnn","the Clinton News Network","The ratings at @FoxNews blow away the ratings of @CNN - not even close. That's because CNN is the Clinton News Network and people don't like","https://twitter.com/realDonaldTrump/status/754664207799451648",2016-07-17 13:09:02
"cnn","people don't like","The ratings at @FoxNews blow away the ratings of @CNN - not even close. That's because CNN is the Clinton News Network and people don't like","https://twitter.com/realDonaldTrump/status/754664207799451648",2016-07-17 13:09:02
"cnn","the worst",".@CNN is the worst.They go to their dumb, one-sided panels when a podium speaker is for Trump! VAST MAJORITY want: Make America Great Again!","https://twitter.com/realDonaldTrump/status/755142098190475265",2016-07-18 20:48:00
"cnn","dumb, one-sided panels",".@CNN is the worst.They go to their dumb, one-sided panels when a podium speaker is for Trump! VAST MAJORITY want: Make America Great Again!","https://twitter.com/realDonaldTrump/status/755142098190475265",2016-07-18 20:48:00
"cnn","low ratings","Networks other than low ratings @CNN have been very fair and exciting!","https://twitter.com/realDonaldTrump/status/755143081666744320",2016-07-18 20:51:55
"cnn","panels are so one sided","The @CNN panels are so one sided, almost all against Trump. @FoxNews is so much better and the ratings are much higher. Don't watch CNN!","https://twitter.com/realDonaldTrump/status/757315800466272256",2016-07-24 20:45:31
"cnn","Don't watch CNN!","The @CNN panels are so one sided, almost all against Trump. @FoxNews is so much better and the ratings are much higher. Don't watch CNN!","https://twitter.com/realDonaldTrump/status/757315800466272256",2016-07-24 20:45:31
